,semel,shem_eretz,uc2010,Jewso10,Arabs10,Olim10,AhuzGidulShnati10,ribuitivishnati10,Ledot10,p0509_0_4,p0509_5_14,p0509_15_24,p0509_25_34,p0509_35_44,p0509_45_54,p0509_55_64,p0509_65_74,p0509_75p,e0,RPiryon0509_15_19,RPiryon0509_20_24,RPiryon0509_25_29,RPiryon0509_30_34,RPiryon0509_35_39,RPiryon0509_40_44,RPiryon0509_tot,Rabort0509_15_49,Rabort_up,Rabort_dn
0,,,2.7,99.2,0.8,3.4,-0.2,18.0,,7.86329103599,16.5314891205,16.8922397195,14.2117995289,12.5199922819,12.2821089243,12.6626051523,4.28641213431,2.7500621023,,,,,,,,2.45688311936,13.1,17.0639527705,9.10592112664
1,,,9.5,99.8,0.2,7.1,3.8,131.0,,8.63295004148,20.2061779256,17.0090125543,11.7344504844,15.4834724043,13.7944392453,8.33821997208,2.88801190009,1.91326547249,,,,,,,,2.50915922311,13.0,15.0657251146,10.9082878736
2,,,3.0,100.0,0.0,2.3,2.8,49.0,,10.7929132883,19.525470143,13.8548299486,12.7750935299,14.8414012809,12.1872077821,6.17831903716,4.73719521167,5.10756977837,,,,,,,,2.97992739609,12.3,16.0768386378,8.50561919631
3,,,3.4,100.0,0.0,3.6,3.0,76.0,,14.6067835204,21.0141375468,16.5897231528,13.5367356077,10.0657645252,9.50703404504,6.03184900204,4.45144816765,4.19652443232,,,,,,,,4.42871700916,8.7,11.817532209,5.53082071181
4,,,2.7,99.8,0.2,3.3,4.7,25.0,,6.80407803455,18.938486014,18.6090960934,10.8006615957,13.4200039737,15.5713361804,11.2087587921,2.52186974445,2.12570957169,,,,,,,,2.35115730494,10.0,13.3030923868,6.63473508393
5,,,5.5,98.9,1.1,6.6,6.8,65.0,,6.69569181988,13.8868528547,17.3411494836,14.3366744359,11.8431884709,14.1543731368,11.8521302716,6.20430049601,3.68563903062,,,,,,,,1.9137768344,13.5,16.3610600365,10.5710914683
6,,,4.8,95.9,4.1,19.5,1.0,111.0,,13.1999918958,18.6826929264,14.7702678763,17.4007513215,10.9801065288,9.26330973201,7.16147578042,4.68301662435,3.85838731435,,,,,,,,3.73596089108,14.7,18.0185572236,11.3715429657
7,,,6.7,100.0,0.0,2.7,4.2,64.0,,7.43428771805,16.0122632192,19.4143789494,13.4632133831,11.8082593557,16.4134595455,11.0960491122,2.73399432343,1.62409439344,,,,,,,,2.26768765713,8.8,10.8886142632,6.69639834727
8,,,2.2,100.0,0.0,4.2,22.4,38.0,,7.41185243134,10.5716009905,14.1699922631,15.8150570479,11.0271065957,9.88380675503,13.8016251,9.21271806122,8.10624075522,,,,,,,,2.54438038112,10.2,15.2696681525,5.04258335247
9,,,5.5,100.0,0.0,3.1,0.2,65.0,,5.6575856482,18.2537965462,21.9527423399,12.4423822039,11.5653016132,18.0228628765,9.24618676209,1.83328250673,1.02585950336,,,,,,,,1.93787308176,6.3,7.91813784395,4.59188796012
10,,,3.0,100.0,0.0,3.1,2.0,61.0,,16.8402140146,19.4170062109,7.06587750318,18.1977661583,21.7766072481,6.68711402582,6.00648213264,2.75024438339,1.25868832301,,,,,,,,2.84686235391,8.8,12.0704981982,5.47965247808
11,,,6.8,99.9,0.1,3.3,1.4,95.0,,9.2312664393,19.4256351213,14.3163018423,13.0480952669,15.7190254106,12.9070548155,8.10338816202,4.47294111879,2.77629182324,,,,,,,,2.36948899696,12.6,15.0950661223,10.0448580164
12,,,6.0,0.8,99.2,0.2,2.4,117.0,,12.4458579809,23.5832891125,17.3758824743,14.3830992529,12.8856966067,9.97469533587,5.22413082639,2.68096056178,1.44638784867,,,,,,,,3.45974577444,7.1,8.99821137151,5.13343776323
13,,,8.1,2.6,97.4,0.0,2.0,179.0,,13.3015123082,26.4459769455,20.454616459,16.7312529922,11.2531679691,6.19351230972,3.39493805643,1.49604369005,0.728979269847,,,,,,,,3.16615261154,10.9,12.915689852,8.83571931964
14,,,5.7,0.0,100.0,0.0,1.9,93.0,,9.86844791153,21.9814625748,19.3108146469,16.1743210933,13.8214623548,9.07815993689,4.57665690506,3.23511223262,1.95356234413,,,,,,,,2.31982218093,7.1,9.04017262494,5.186969828
15,,,2.9,0.4,99.6,0.1,1.9,49.0,,9.92575225164,19.7590684535,14.3192227569,16.2425227093,14.4118865623,9.11838976827,6.29600093424,6.4072989528,3.51985761106,,,,,,,,2.56598652326,11.9,15.593078079,8.24862814203
16,,,9.1,0.2,99.8,0.1,1.5,152.0,,12.7740189323,24.4758640451,16.6907430554,14.186445801,14.1189897004,8.31325387008,4.7987730342,3.00165095698,1.64026060445,,,,,,,,3.23987041433,11.4,13.4183563824,9.35072333454
17,,,9.0,2.0,98.0,0.1,1.7,162.0,,12.0209465177,24.0042441143,18.6864983332,15.4907661976,13.1057860934,8.40497265031,4.42975428928,2.60187322983,1.25515857442,,,,,,,,2.98907523108,7.7,9.35777753373,6.11832752253
18,,,5.5,0.1,99.9,0.0,1.6,94.0,,11.1303839192,23.2138957026,19.156015212,17.2579222709,12.5492806708,7.91788342558,4.3980623007,2.68047904523,1.69607745297,,,,,,,,2.5966809543,2.6,3.78589680116,1.39537422394
19,,,2.8,0.4,99.6,0.0,2.9,60.0,,12.6422738551,22.094649537,17.6136641494,16.9233795973,13.345824883,7.6883003495,4.89995173152,3.40363259659,1.38832330055,,,,,,,,3.03033219245,4.2,6.3010490406,2.07238616339
20,,,8.8,0.8,99.2,0.0,0.9,93.0,,9.53911582046,21.3995421854,17.4308397976,15.0266585773,13.6996901375,11.191998906,6.29625909173,3.46422168826,1.95167379573,,,,,,,,2.35783636319,11.6,13.5780006273,9.6012429837
21,,,2.9,0.4,99.6,0.0,0.9,36.0,,8.11438606568,19.4639163048,17.224733361,15.235001477,11.9037487413,12.4702553118,8.42920463591,4.80027917609,2.35847492641,,,,,,,,1.90580112644,3.9,5.89385811575,1.84687080463
22,,,7.0,0.1,99.9,0.0,2.2,175.0,,13.6418471659,26.4280731153,19.6359747329,16.2492040982,12.016109288,6.04675362459,3.32831088722,1.9551885711,0.698538516697,,,,,,,,3.28860219003,4.6,5.98048556661,3.12822375933
23,,,2.4,0.0,100.0,0.0,2.7,65.0,,13.8465369555,26.8991814028,18.4985799733,14.8867416364,12.4716472682,7.63030784743,3.3784372,1.60128649456,0.78728122192,,,,,,,,3.28964327932,4.2,6.61313581068,1.84028279353
24,,,3.4,0.4,99.6,0.1,0.4,33.0,,8.720110068,21.7771477229,22.2733307788,12.0822142412,13.4537675092,12.1266537142,4.44620764395,3.78467994682,1.33588837484,,,,,,,,2.36246519977,7.7,10.1986741273,5.13735721448
25,,,2.9,1.1,98.9,0.1,1.6,33.0,,9.06488581179,18.1292956142,13.9411988764,15.9086421809,13.937862994,9.76356896343,7.8096420471,7.14968942274,4.29521408956,,,,,,,,2.17427643244,15.5,19.630789077,11.353784104
26,,,7.1,0.1,99.9,0.1,2.0,183.0,,12.9948088593,26.6202758987,20.9746548201,14.3395024923,10.679499579,7.41448378431,3.93963928961,1.95657527005,1.08056000665,,,,,,,,3.70762854425,5.2,6.68661499915,3.61533249777
27,,,2.3,0.0,100.0,0.0,6.7,68.0,,16.7684650244,28.988216384,18.5727443552,13.7645834535,10.116572844,6.72995012771,2.76675209657,1.08326133279,1.20945438183,,,,,,,,4.25477105038,5.4,8.45226121371,2.35437349847
28,,,3.7,0.0,100.0,0.0,1.3,74.0,,11.0632788631,24.2263115832,21.1460300313,18.5980069947,11.361771157,6.83406690858,3.52974218638,1.9285244793,1.31226779642,,,,,,,,2.19535819727,5.2,7.18176802367,3.20109649228
29,,,2.2,0.2,99.8,0.0,2.3,50.0,,11.993162742,23.1850320902,20.3404029454,16.2552872436,12.0679910787,8.20302856892,4.88454720719,2.22020333079,0.850344793173,,,,,,,,2.96997041431,8.7,11.9303566972,5.41578868167
30,,,2.7,0.4,99.6,0.0,2.9,83.0,,14.9244726322,30.3897077944,18.5174815981,15.0992953417,10.2743381765,5.39250390008,3.14734752697,1.49368185635,0.761171173615,,,,,,,,3.85619544872,5.1,7.74689478586,2.5495866267
31,,,4.9,0.9,99.1,0.1,1.7,67.0,,9.64442217608,20.7000362471,17.9595761597,16.2019852734,12.830182817,10.7750539849,6.31654858436,3.56072367557,2.01147108191,,,,,,,,2.47500309716,14.1,17.1626629636,11.0906915123
32,,,2.9,0.5,99.5,0.0,1.1,31.0,,8.05978809709,18.6398474202,16.9424462433,16.3382714512,12.9718866638,11.0636585968,7.44443046481,4.94101073907,3.59866032364,,,,,,,,2.24016179619,10.8,14.092844054,7.4520672198
33,,,5.4,1.3,98.7,0.5,0.8,82.0,,9.78293350912,20.5256798627,17.7289171165,16.6251485401,13.2534667967,10.0176543674,5.65784559664,3.46849518495,2.93985902595,,,,,,,,2.15379919694,4.2,5.68559875886,2.61675386826
34,,,6.0,0.3,99.7,0.0,1.9,111.0,,11.9671417339,25.1325414375,19.6033876846,15.5894298294,13.9550641951,6.6855276218,3.82573497341,2.14436366565,1.09680885862,,,,,,,,2.67279073059,5.7,7.36920521341,4.04402215616
35,,,7.3,0.8,99.2,0.0,0.5,96.0,,8.99052637399,20.9728053564,17.8857164703,14.8098982121,12.893109906,9.62841987834,7.17587245431,4.8284488819,2.81520246663,,,,,,,,2.28187807046,7.3,9.03562829156,5.61588879973
36,,,3.0,100.0,0.0,11.9,10.5,503.644444444,,20.0126190785,26.8591795185,22.8217171373,13.4359123127,8.08896265599,4.46165735912,3.70199415613,0.393513383089,0.224444398631,,,,,,,,6.79338516183,0.0,5.28750725129,0.0569458612128
37,,,3.0,100.0,0.0,5.6,0.9,20.0,,6.49706917493,14.0583884086,14.6632813381,9.80748172252,9.65665956702,13.7333104274,13.7949343606,10.3163012021,7.47257379878,,,,,,,,2.34816221398,11.7,15.3030276899,8.02448334278
38,,,8.6,0.5,99.5,0.0,1.6,169.0,,14.9270940491,27.9551678811,17.4970996771,14.0434963448,11.8150123914,7.14750874541,3.85448867108,2.14166349772,0.618468742379,,,,,,,,3.94404425754,8.5,10.3093117548,6.59697491233
39,,,2.9,0.1,99.9,0.0,2.6,71.0,,15.6020955984,31.4535804184,16.587918365,13.6524937406,11.7824514285,5.38368308401,3.04515425769,1.72866718865,0.763955918667,,,,,,,,4.19993622653,3.4,5.46249708468,1.28649332553
40,,,3.1,0.1,99.9,0.0,1.9,79.0,,15.01078911,28.0655881075,17.6096423932,16.2821723969,11.5529439587,6.15956896239,3.12620600127,1.5695904145,0.623498655484,,,,,,,,3.57639405063,3.7,5.64488121325,1.76864360681
41,,,2.5,0.6,99.4,0.0,1.6,54.0,,14.2224929715,26.4561557803,18.9798692806,13.4641328038,12.1348102024,8.12747657469,3.74744810488,2.15416813602,0.713446145815,,,,,,,,3.69103661244,6.4,9.3789776975,3.46462044027
42,,,2.5,0.2,99.8,0.0,3.1,51.0,,11.2576874643,27.1661683399,18.4366055882,15.2240646038,12.5334177361,8.1664596404,3.96035987146,2.66768982507,0.58754693074,,,,,,,,2.55252652394,7.5,10.5771789218,4.35906817759
43,,,6.5,99.1,0.9,3.7,1.5,54.0,,6.97814894591,13.7813879335,15.0683658656,11.2260108486,8.42239194995,12.0291947342,17.3024307928,8.9696409523,6.22242797721,,,,,,,,2.99260218909,11.2,13.7602641718,8.56054479315
44,,,5.0,100.0,0.0,4.8,4.9,200.0,,15.9373934236,28.3936214984,23.8478861529,12.340844747,6.50100197981,5.70528542907,3.76853840078,2.14025087664,1.36517749175,,,,,,,,5.76331722505,2.4,3.80477769593,1.05720039185
45,,,2.5,99.9,0.1,2.4,-1.5,53.0,,20.7063375841,32.7838717344,19.8634289277,8.58235480052,7.2704189902,5.78545665618,2.88930445572,0.940116891053,1.17870996014,,,,,,,,10.8850920532,0.0,6.13444048579,0.0667259939766
46,,,6.0,98.7,1.3,17.1,1.5,88.0,,10.7801977012,17.1064662388,14.115843011,17.4335945417,13.2277213296,12.8621189739,7.01206293308,4.81398852788,2.64800674288,,,,,,,,2.43330490289,15.6,18.4886043826,12.7915596643
